"country","region_code","geonameid","name","asciiname","latitude","longitude","population","featureCode"
"TM","S","162183","Ashgabat","Ashgabat","37.95","58.38333","727700","PPLC"
"TM","04","1219649","Türkmenabat","Turkmenabat","39.07328","63.57861","234817","PPLA"
"TM","03","601734","Daşoguz","Dasoguz","41.83625","59.96661","166500","PPLA"
"TM","05","1218667","Mary","Mary","37.59378","61.83031","114680","PPLA"
"TM","02","601594","Türkmenbaşy","Tuerkmenbasy","40.02216","52.95517","91745","PPL"
"TM","02","161616","Balkanabat","Balkanabat","39.51075","54.36713","87822","PPLA"
"TM","05","1219762","Bayramaly","Bayramaly","37.61852","62.16715","70376","PPL"
"TM","01","1218239","Tejen","Tejen","37.38338","60.50545","67488","PPL"
"TM","01","13526673","Arkadag","Arkadag","38.07127","58.06562","40524","PPL"
"TM","01","162099","Abadan","Abadan","38.05415","58.19721","39481","PPL"
