"country_iso2","code","full_code","name_uz_lat","name_ru","name_en","geoname_id"
"KG","08","KG.08","Osh Region","Osh Region","Osh Region","1346798"
"KG","09","KG.09","Batken","Batken","Batken","1463580"
"KG","06","KG.06","Talas Region","Talas Region","Talas Region","1527297"
"KG","04","KG.04","Naryn Region","Naryn Region","Naryn Region","1527590"
"KG","07","KG.07","Issyk-Kul","Issyk-Kul","Issyk-Kul","1528260"
"KG","01","KG.01","Bishkek","Bishkek","Bishkek","1528334"
"KG","03","KG.03","Jalal-Abad Region","Jalal-Abad Region","Jalal-Abad Region","1529778"
"KG","02","KG.02","Chuy Region","Chuy Region","Chuy Region","1538652"
"KG","10","KG.10","Osh City","Osh City","Osh City","10300944"
"KZ","07","KZ.07","Batys Qazaqstan","Batys Qazaqstan","Batys Qazaqstan","607847"
"KZ","09","KZ.09","Mangghystau","Mangghystau","Mangghystau","608879"
"KZ","06","KZ.06","Atyrau Oblisi","Atyrau Oblisi","Atyrau Oblisi","609862"
"KZ","04","KZ.04","Aktyubinskaya Oblast'","Aktyubinskaya Oblast'","Aktyubinskaya Oblast'","610688"
"KZ","15","KZ.15","East Kazakhstan","East Kazakhstan","East Kazakhstan","1517381"
"KZ","03","KZ.03","Aqmola","Aqmola","Aqmola","1518003"
"KZ","16","KZ.16","North Kazakhstan","North Kazakhstan","North Kazakhstan","1519367"
"KZ","11","KZ.11","Pavlodar Region","Pavlodar Region","Pavlodar Region","1520239"
"KZ","14","KZ.14","Qyzylorda","Qyzylorda","Qyzylorda","1521406"
"KZ","13","KZ.13","Qostanay","Qostanay","Qostanay","1521671"
"KZ","12","KZ.12","Karaganda","Karaganda","Karaganda","1523401"
"KZ","17","KZ.17","Zhambyl","Zhambyl","Zhambyl","1524444"
"KZ","10","KZ.10","Turkistan","Turkistan","Turkistan","1524787"
"KZ","02","KZ.02","Almaty","Almaty","Almaty","1526395"
"KZ","01","KZ.01","Almaty Region","Almaty Region","Almaty Region","1537162"
"KZ","1537272","KZ.1537272","Shymkent","Shymkent","Shymkent","1537272"
"KZ","08","KZ.08","Baikonur","Baikonur","Baikonur","1538316"
"KZ","05","KZ.05","Astana","Astana","Astana","1538317"
"KZ","12510143","KZ.12510143","Abai Region","Abai Region","Abai Region","12510143"
"KZ","12510144","KZ.12510144","Jetisu Region","Jetisu Region","Jetisu Region","12510144"
"KZ","12510145","KZ.12510145","Ulytau Region","Ulytau Region","Ulytau Region","12510145"
"TJ","03","TJ.03","Sughd","Sughd","Sughd","1221092"
"TJ","01","TJ.01","Gorno-Badakhshan","Gorno-Badakhshan","Gorno-Badakhshan","1221692"
"TJ","02","TJ.02","Khatlon Province","Khatlon Province","Khatlon Province","1347488"
"TJ","RR","TJ.RR","Republican Subordination","Republican Subordination","Republican Subordination","6452615"
"TJ","04","TJ.04","Dushanbe","Dushanbe","Dushanbe","7280679"
"TM","02","TM.02","Balkan","Balkan","Balkan","162152"
"TM","01","TM.01","Ahal","Ahal","Ahal","162181"
"TM","S","TM.S","Ashgabat","Ashgabat","Ashgabat","162182"
"TM","03","TM.03","Dasoguz","Dasoguz","Dasoguz","601465"
"TM","05","TM.05","Mary","Mary","Mary","1218666"
"TM","04","TM.04","Lebap","Lebap","Lebap","1219651"
"UZ","09","UZ.09","Karakalpakstan","Karakalpakstan","Karakalpakstan","453752"
"UZ","12","UZ.12","Surxondaryo Region","Surxondaryo Region","Surxondaryo Region","1114926"
"UZ","10","UZ.10","Samarqand Region","Samarqand Region","Samarqand Region","1114927"
"UZ","08","UZ.08","Qashqadaryo","Qashqadaryo","Qashqadaryo","1114928"
"UZ","02","UZ.02","Bukhara","Bukhara","Bukhara","1114929"
"UZ","14","UZ.14","Tashkent Region","Tashkent Region","Tashkent Region","1484838"
"UZ","13","UZ.13","Tashkent","Tashkent","Tashkent","1484839"
"UZ","16","UZ.16","Sirdaryo Region","Sirdaryo Region","Sirdaryo Region","1484840"
"UZ","07","UZ.07","Navoiy Region","Navoiy Region","Navoiy Region","1484841"
"UZ","06","UZ.06","Namangan","Namangan","Namangan","1484842"
"UZ","05","UZ.05","Xorazm Region","Xorazm Region","Xorazm Region","1484843"
"UZ","15","UZ.15","Jizzakh Region","Jizzakh Region","Jizzakh Region","1484844"
"UZ","03","UZ.03","Fergana","Fergana","Fergana","1484845"
"UZ","01","UZ.01","Andijan Region","Andijan Region","Andijan Region","1484846"
