"country_code","geonameid","name","asciiname","admin1Code","admin2Code","latitude","longitude","population","featureCode","modificationDate"
"KZ","1526384","Almaty","Almaty","02","","43.25249","76.9115","1977011","PPLA","2025-11-15"
"KZ","1518980","Shymkent","Shymkent","1537272","","42.30988","69.60042","1200000","PPLA","2025-07-16"
"KZ","610611","Aktobe","Aktobe","04","828331","50.27969","57.20718","500757","PPLA","2025-05-08"
"KZ","609655","Karagandy","Karagandy","12","1537266","49.80187","73.10211","497777","PPLA","2022-09-26"
"KZ","1516905","Taraz","Taraz","17","","42.89799","71.37334","358153","PPLA","2025-07-16"
"KZ","1519922","Kyzylorda","Kyzylorda","14","","44.85278","65.50917","354800","PPLA","2022-09-26"
"KZ","1526273","Astana","Astana","05","","51.1801","71.44598","345604","PPLC","2025-12-07"
"KZ","608668","Oral","Oral","07","","51.24601","51.42558","330000","PPLA","2025-07-16"
"KZ","1520240","Pavlodar","Pavlodar","11","","52.27601","76.96881","329002","PPLA","2025-07-16"
"KZ","1520316","Ust-Kamenogorsk","Ust-Kamenogorsk","15","","49.97143","82.60586","319067","PPLA","2017-09-19"
"KG","1528675","Bishkek","Bishkek","01","","42.87","74.59","900000","PPLC","2025-08-22"
"KG","1527534","Osh","Osh","08","","40.52828","72.7985","322164","PPLA","2022-09-26"
"KG","1528249","Jalal-Abad","Jalal-Abad","03","","40.94498","72.99313","123239","PPLA","2026-02-08"
"KG","1528121","Karakol","Karakol","07","","42.49047","78.39197","84351","PPLA","2025-11-15"
"KG","1527199","Tokmok","Tokmok","02","","42.84194","75.30149","71443","PPLA2","2022-09-08"
"KG","1527513","Uzgen","Uzgen","08","","40.76994","73.30068","49410","PPL","2024-09-24"
"KG","1528182","Kara-Balta","Kara-Balta","02","","42.81423","73.84813","48278","PPLA2","2022-09-08"
"KG","1527004","Balykchy","Balykchy","07","","42.46017","76.18709","42875","PPL","2021-11-10"
"KG","1527592","Naryn","Naryn","04","","41.4283","75.9957","41178","PPLA","2025-11-15"
"KG","1528717","Bazar-Korgon","Bazar-Korgon","03","","41.0376","72.74586","41011","PPLA2","2022-09-08"
"TJ","1221874","Dushanbe","Dushanbe","04","","38.53575","68.77905","679400","PPLC","2016-10-19"
"TJ","1514896","Isfara","Isfara","03","","40.12649","70.62526","274000","PPLA2","2022-09-21"
"TJ","1220253","Istaravshan","Istaravshan","03","8216028","39.9142","69.00328","273500","PPLA2","2022-09-21"
"TJ","1221194","Kŭlob","Kulob","02","","37.91459","69.78454","214700","PPLA2","2022-09-21"
"TJ","1514891","Konibodom","Konibodom","03","","40.29414","70.43122","211100","PPLA2","2022-09-21"
"TJ","1514879","Khujand","Khujand","03","8209860","40.28256","69.62216","191000","PPLA","2022-10-15"
"TJ","1220747","Bokhtar","Bokhtar","02","","37.83654","68.77762","110800","PPLA","2025-11-15"
"TJ","1514883","Qayroqqum","Qayroqqum","03","","40.26598","69.79585","49200","PPL","2021-11-09"
"TJ","1220855","Vahdat","Vahdat","RR","","38.55632","69.01354","45693","PPLA2","2021-07-28"
"TJ","1282601","Tursunzoda","Tursunzoda","RR","","38.51271","68.23163","37000","PPLA2","2017-12-14"
"TM","162183","Ashgabat","Ashgabat","S","","37.95","58.38333","727700","PPLC","2019-09-05"
"TM","1219649","Türkmenabat","Turkmenabat","04","","39.07328","63.57861","234817","PPLA","2026-01-08"
"TM","601734","Daşoguz","Dasoguz","03","","41.83625","59.96661","166500","PPLA","2026-01-08"
"TM","1218667","Mary","Mary","05","","37.59378","61.83031","114680","PPLA","2012-01-17"
"TM","601594","Türkmenbaşy","Tuerkmenbasy","02","","40.02216","52.95517","91745","PPL","2026-01-06"
"TM","161616","Balkanabat","Balkanabat","02","","39.51075","54.36713","87822","PPLA","2026-01-06"
"TM","1219762","Bayramaly","Bayramaly","05","","37.61852","62.16715","70376","PPL","2025-06-18"
"TM","1218239","Tejen","Tejen","01","","37.38338","60.50545","67488","PPL","2026-01-08"
"TM","13526673","Arkadag","Arkadag","01","","38.07127","58.06562","40524","PPL","2026-01-06"
"TM","162099","Abadan","Abadan","01","","38.05415","58.19721","39481","PPL","2023-03-23"
"UZ","1512569","Tashkent","Tashkent","13","","41.26465","69.21627","1978028","PPLC","2024-06-22"
"UZ","1514588","Andijon","Andijon","01","","40.78338","72.35067","747800","PPLA","2025-07-16"
"UZ","1513157","Namangan","Namangan","06","","40.9983","71.67257","713220","PPLA","2025-06-24"
"UZ","1216265","Samarkand","Samarkand","10","","39.65456","66.96445","595200","PPLA","2025-07-16"
"UZ","1512296","Yunusobod","Yunusobod","13","","41.37139","69.27944","352000","PPLX","2025-06-25"
"UZ","601294","Nukus","Nukus","09","","42.45861","59.60576","332500","PPLA","2025-07-16"
"UZ","1514019","Fergana","Fergana","03","","40.38421","71.78432","299200","PPLA","2024-07-25"
"UZ","1217662","Bukhara","Bukhara","02","","39.77026","64.43069","280187","PPLA","2025-07-16"
"UZ","1216311","Qarshi","Qarshi","08","","38.86056","65.78905","278300","PPLA","2023-02-25"
"UZ","1514230","Chilanzar","Chilanzar","13","","41.28194","69.18111","260700","PPLX","2025-06-25"
